scenario,Policy USA,Policy Global,BECCS,DAC,Scenario
GCAM-USA_REF,No Policy,No Policy,No BECCS,No DAC,Reference
GCAM-USA_DAC_NZUSA2050ghg_NZROW2060co2,NZghg-USA-2050,NZco2-ROW-2060,High,High,"Net-zero, High BECCS, High DAC"
GCAM-USA_noDAC_NZUSA2050ghg_NZROW2060co2,NZghg-USA-2050,NZco2-ROW-2060,BECCS,No DAC,"Net-zero, BECCS, no DAC"
GCAM-USA_DAC_noBECCS_NZUSA2050ghg_NZROW2060co2,NZghg-USA-2050,NZco2-ROW-2060,No BECCS,DAC,"Net-zero, no BECCS, DAC"
GCAM-USA_noDAC_noBECCS_NZUSA2050ghg_NZROW2060co2,NZghg-USA-2050,NZco2-ROW-2060,No BECCS,No DAC,"Net-zero, no BECCS, no DAC"
GCAM-USA_littleDAC_littleBECCS_NZUSA2050ghg_NZROW2060co2_test1_opoo5,NZghg-USA-2050,NZco2-ROW-2060,Low,Low,"Net-zero, Low BECCS, Low DAC"
GCAM-USA_noDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3,NZghg-USA-2050,NZco2-ROW-2060,No BECCS,No DAC,"Net-zero, no BECCS, no DAC"
GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3,NZghg-USA-2050,NZco2-ROW-2060,Low,Low,"Net-zero, Low BECCS, Low DAC"
GCAM-USA_DAC_NZUSA2050ghg_NZROW2060co2_newEFV2,NZghg-USA-2050,NZco2-ROW-2060,High,High,"Net-zero, High BECCS, High DAC"
GCAM-USA_DAC_NZUSA2050ghg_NZROW2060co2_newEFV2_allEF,NZghg-USA-2050,NZco2-ROW-2060,High,High,"Net-zero, High BECCS, High DAC"
GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF,NZghg-USA-2050,NZco2-ROW-2060,Low,Low,"Net-zero, Low BECCS, Low DAC"